"","num_times_surv","kde_grid_id","kde","kde.bin","kde.75","gstat_grid_id","gstat","gstat.bin","gstat.75","persistence_grid_id","persistence","persistence.bin","persistence.75","conditional_grid_id","conditional","conditional.bin","conditional.75"
"8826",7,8826,0.019566567761726,0,0,8826,-0.281882005573639,0,0,8826,0.428571429,0,0,8826,0,0,0
"9772",6,9772,0.493380614556372,1,0.493380614556372,9772,-0.0104923186203086,1,-0.0104923186203086,9772,0.333333333,0,0,9772,0,0,0
"12705",12,12705,0.001574649431166,0,0,12705,-0.25642067883659,0,0,12705,0.083333333,0,0,12705,0,0,0
"9465",15,9465,1.3353920340538,1,1.3353920340538,9465,0.11386779381384,1,0.11386779381384,9465,0.533333333,1,0.533333333,9465,0.9335,1,0.9335
"9487",6,9487,0.395152522623539,0,0,9487,-0.124269358801136,0,0,9487,0.833333333,1,0.833333333,9487,0,0,0
"9917",7,9917,0.012974864865343,0,0,9917,-0.22244114312648,0,0,9917,0,0,0,9917,0,0,0
"13152",20,13152,0.144171016911666,0,0,13152,-0.209059452905644,0,0,13152,0.35,0,0,13152,0,0,0
"13690",10,13690,0.000306849996491,0,0,13690,-0.222218530790166,0,0,13690,0,0,0,13690,0,0,0
"17108",13,17108,0.027408092981204,0,0,17108,-0.269821154579997,0,0,17108,0.461538462,0,0,17108,0,0,0
"17014",14,17014,0.093941352702677,0,0,17014,-0.248891305869981,0,0,17014,0.5,0,0,17014,0,0,0
"11401",17,11401,0.373054094612598,0,0,11401,-0.15209640397516,0,0,11401,0.235294118,0,0,11401,0,0,0
"9909",6,9909,0.010561661515385,0,0,9909,-0.283418367382775,0,0,9909,0.166666667,0,0,9909,0,0,0
"13675",16,13675,0,0,0,13675,-0.22244114312648,0,0,13675,0,0,0,13675,0,0,0
"14350",20,14350,0.289285909136136,0,0,14350,-0.115126737433486,1,-0.115126737433486,14350,0.3,0,0,14350,0,0,0
"15427",4,15427,0.171595553557078,0,0,15427,-0.226334721126762,0,0,15427,0.5,0,0,15427,0,0,0
"8958",7,8958,0.318699076771736,0,0,8958,-0.207561530036522,0,0,8958,1,1,1,8958,0,0,0
"16326",12,16326,0.252689538399378,0,0,16326,-0.196377755763494,0,0,16326,0.75,1,0.75,16326,0,0,0
"13826",15,13826,0,0,0,13826,-0.22244114312648,0,0,13826,0,0,0,13826,0,0,0
"16719",13,16719,0.188961740802316,0,0,16719,-0.170229216580097,0,0,16719,0.769230769,1,0.769230769,16719,0,0,0
"14810",13,14810,0.012656311394975,0,0,14810,-0.282268149985561,0,0,14810,0.153846154,0,0,14810,0,0,0
"17018",14,17018,0.082496570423245,0,0,17018,-0.26521206915259,0,0,17018,0.357142857,0,0,17018,0,0,0
"9469",15,9469,0.154284303138653,0,0,9469,-0.207224680655909,0,0,9469,0,0,0,9469,0,0,0
"15230",6,15230,0.861291819252074,1,0.861291819252074,15230,-0.107048448509726,1,-0.107048448509726,15230,0.333333333,0,0,15230,0,0,0
"12704",12,12704,0.00219089272432,0,0,12704,-0.286717026561213,0,0,12704,0.166666667,0,0,12704,0,0,0
"12703",12,12703,0.001208378713636,0,0,12703,-0.256158963870224,0,0,12703,0.083333333,0,0,12703,0,0,0
"15143",6,15143,0.500221372612834,1,0.500221372612834,15143,0.0139446558912682,1,0.0139446558912682,15143,0,0,0,15143,0,0,0
