"","kde","gstat","persistence","conditional"
"kde",1,0.870064531418114,0.12141584358993,0.412016780231422
"gstat",0.870064531418114,1,0.124725105955946,0.423282932583436
"persistence",0.12141584358993,0.124725105955946,1,0.337383992948691
"conditional",0.412016780231422,0.423282932583436,0.337383992948691,1
